iter	Passed	Remaining
0	1	1559
1	2	1475
2	4	1397
3	5	1339
4	6	1302
5	7	1283
6	8	1275
7	10	1265
8	11	1259
9	12	1251
10	13	1239
11	14	1234
12	16	1228
13	17	1225
14	18	1223
15	19	1220
16	21	1216
17	21	1194
18	23	1192
19	24	1189
20	25	1183
21	26	1179
22	27	1174
23	28	1172
24	29	1169
25	31	1164
26	32	1168
27	33	1169
28	34	1166
29	36	1165
30	37	1162
31	38	1160
32	39	1159
33	40	1158
34	41	1157
35	43	1157
36	44	1154
37	45	1150
38	46	1147
39	47	1150
40	49	1156
41	50	1155
42	51	1155
43	53	1153
44	54	1151
45	55	1149
46	56	1149
47	57	1147
48	59	1146
49	60	1145
50	61	1145
51	62	1147
52	64	1146
53	65	1144
54	66	1142
55	67	1141
56	68	1138
57	70	1137
58	71	1136
59	72	1137
60	73	1136
61	75	1135
62	76	1134
63	77	1136
64	78	1135
65	80	1133
66	81	1132
67	82	1131
68	83	1130
69	86	1149
70	87	1149
71	89	1151
72	91	1155
73	92	1160
74	94	1159
75	95	1158
76	96	1159
77	98	1158
78	99	1154
79	100	1152
80	101	1149
81	102	1146
82	103	1144
83	104	1140
84	107	1152
85	108	1151
86	109	1150
87	110	1149
88	111	1145
89	113	1146
90	114	1146
91	116	1149
92	117	1149
93	119	1148
94	120	1151
95	124	1169
96	125	1168
97	126	1166
98	128	1164
99	129	1165
100	130	1162
101	131	1158
102	132	1155
103	133	1153
104	135	1150
105	136	1149
106	137	1147
107	138	1145
108	139	1143
109	141	1141
110	142	1140
111	143	1137
112	144	1135
113	145	1132
114	146	1130
115	148	1128
116	149	1126
117	150	1125
118	151	1123
119	153	1125
120	154	1125
121	156	1123
122	157	1122
123	158	1119
124	159	1117
125	160	1115
126	161	1110
127	162	1108
128	163	1106
129	165	1104
130	166	1102
131	167	1101
132	168	1099
133	169	1097
134	171	1096
135	172	1094
136	173	1090
137	174	1088
138	175	1086
139	176	1083
140	177	1081
141	178	1079
142	180	1078
143	181	1078
144	182	1076
145	183	1075
146	185	1073
147	186	1072
148	187	1070
149	188	1067
150	189	1066
151	190	1064
152	191	1062
153	193	1060
154	194	1059
155	195	1058
156	196	1056
157	197	1054
158	199	1053
159	200	1051
160	201	1049
161	202	1047
162	203	1046
163	204	1044
164	205	1041
165	207	1040
166	207	1037
167	209	1036
168	210	1034
169	211	1033
170	212	1031
171	213	1029
172	215	1027
173	216	1026
174	217	1024
175	218	1022
176	219	1020
177	220	1019
178	221	1017
179	223	1017
180	224	1015
181	225	1014
182	226	1013
183	228	1012
184	229	1010
185	230	1009
186	231	1007
187	232	1005
188	233	1004
189	235	1002
190	236	1000
191	238	1002
192	239	1000
193	240	999
194	241	998
195	243	997
196	244	995
197	245	993
198	246	992
199	247	990
200	248	988
201	249	987
202	251	986
203	252	985
204	254	987
205	256	989
206	258	988
207	259	988
208	261	988
209	262	988
210	264	988
211	266	988
212	267	988
213	268	987
214	273	997
215	275	1000
216	277	1000
217	278	1000
218	280	998
219	281	997
220	282	996
221	284	995
222	285	994
223	286	994
224	288	993
225	289	992
226	291	991
227	292	990
228	293	989
229	295	988
230	296	986
231	297	985
232	298	983
233	300	983
234	302	983
235	303	983
236	305	984
237	307	983
238	308	982
239	310	982
240	311	980
241	312	978
242	313	977
243	315	978
244	317	978
245	318	977
246	320	976
247	321	975
248	322	973
249	324	972
250	325	971
251	326	969
252	328	968
253	329	968
254	331	967
255	332	966
256	333	965
257	335	964
258	336	962
259	337	961
260	338	959
261	340	957
262	341	956
263	342	955
264	344	954
265	345	953
266	346	951
267	347	950
268	349	949
269	350	948
270	351	946
271	353	945
272	354	944
273	355	942
274	357	941
275	358	940
276	360	940
277	361	939
278	363	938
279	364	937
280	365	935
281	366	934
282	368	932
283	369	931
284	370	929
285	371	928
286	373	927
287	374	926
288	376	925
289	377	923
290	378	922
291	380	921
292	381	920
293	382	918
294	383	917
295	385	915
296	386	914
297	389	918
298	391	916
299	392	915
300	393	914
301	395	913
302	396	912
303	397	910
304	399	909
305	400	907
306	401	906
307	402	905
308	404	904
309	405	902
310	406	901
311	408	899
312	409	898
313	410	896
314	411	895
315	413	893
316	414	892
317	415	891
318	416	889
319	418	888
320	419	886
321	420	885
322	423	886
323	424	885
324	425	884
325	427	883
326	428	881
327	429	880
328	431	879
329	432	877
330	433	876
331	434	875
332	436	873
333	437	872
334	438	871
335	440	869
336	441	868
337	442	867
338	444	865
339	445	864
340	446	863
341	448	862
342	449	860
343	450	859
344	452	858
345	453	857
346	454	855
347	455	854
348	457	852
349	458	851
350	459	850
351	461	848
352	462	847
353	463	846
354	465	845
355	466	843
356	467	842
357	468	840
358	469	838
359	471	837
360	472	835
361	473	834
362	475	833
363	476	832
364	477	831
365	478	829
366	480	828
367	481	826
368	482	825
369	483	823
370	485	822
371	486	820
372	487	819
373	488	817
374	489	816
375	492	816
376	493	815
377	495	815
378	496	813
379	497	812
380	499	811
381	500	810
382	501	808
383	503	807
384	504	805
385	505	804
386	507	804
387	509	803
388	510	802
389	512	801
390	513	799
391	514	798
392	516	797
393	517	795
394	518	794
395	520	793
396	522	793
397	523	791
398	524	790
399	525	788
400	527	788
401	529	787
402	530	785
403	531	784
404	532	782
405	534	781
406	535	780
407	536	778
408	537	777
409	539	775
410	540	774
411	541	773
412	542	771
413	544	770
414	545	768
415	546	767
416	547	765
417	548	764
418	550	762
419	551	761
420	552	760
421	553	758
422	555	757
423	556	755
424	557	754
425	558	752
426	559	751
427	560	749
428	561	747
429	563	746
430	564	744
431	565	743
432	566	741
433	567	740
434	569	739
435	570	737
436	571	736
437	572	734
438	573	733
439	574	731
440	576	730
441	577	728
442	578	727
443	579	725
444	581	724
445	582	723
446	583	722
447	584	720
448	586	719
449	587	717
450	588	716
451	589	715
452	590	713
453	592	712
454	593	710
455	594	709
456	596	708
457	597	706
458	598	705
459	599	703
460	600	702
461	602	701
462	603	699
463	604	698
464	605	696
465	606	695
466	607	693
467	609	692
468	610	691
469	611	689
470	612	688
471	614	686
472	615	685
473	616	684
474	617	682
475	618	681
