iter	RMSE
0	14.01818636
1	13.6326082
2	13.21670562
3	12.82620618
4	12.46612905
5	12.1490085
6	11.82464933
7	11.5399445
8	11.23865848
9	10.92341426
10	10.60637948
11	10.32170243
12	10.040457
13	9.788371756
14	9.529437344
15	9.287097955
16	9.057035354
17	8.842187935
18	8.633145381
19	8.431592048
20	8.220510946
21	8.010514975
22	7.845182765
23	7.662321221
24	7.490115049
25	7.3358857
26	7.185528991
27	7.046830029
28	6.902552398
29	6.791212568
30	6.664655075
31	6.537777636
32	6.430540074
33	6.306947907
34	6.203606216
35	6.107697493
36	6.006557188
37	5.915498482
38	5.811805398
39	5.726101983
40	5.636122359
41	5.552360146
42	5.478493136
43	5.404328855
44	5.323487964
45	5.255539537
46	5.191062068
47	5.123411567
48	5.063970229
49	5.010279841
50	4.955716006
51	4.905061981
52	4.858250915
53	4.808518297
54	4.768970935
55	4.728482942
56	4.681363992
57	4.638491083
58	4.600806475
59	4.567155602
60	4.534423936
61	4.500092506
62	4.469409723
63	4.442334306
64	4.414601655
65	4.391824794
66	4.358396043
67	4.336600714
68	4.313522022
69	4.290151604
70	4.271063841
71	4.253056993
72	4.231659346
73	4.212178424
74	4.192328564
75	4.176411368
76	4.158064981
77	4.143465542
78	4.129498673
79	4.109373027
80	4.095051787
81	4.081766259
82	4.070037019
83	4.057718595
84	4.041970726
85	4.030028
86	4.015378328
87	4.000723376
88	3.990433887
89	3.978580953
90	3.967921586
91	3.957004162
92	3.946381221
93	3.932877793
94	3.920960594
95	3.911836838
96	3.901948579
97	3.891851904
98	3.884915751
99	3.87388717
100	3.865771165
101	3.861159945
102	3.854692469
103	3.847156066
104	3.838199961
105	3.830917948
106	3.824386724
107	3.818433323
108	3.811976878
109	3.805383257
110	3.798286693
111	3.790789232
112	3.781851088
113	3.774458182
114	3.770622625
115	3.764312497
116	3.756388885
117	3.750800016
118	3.748866705
119	3.741522829
120	3.737861106
121	3.733514976
122	3.728452455
123	3.723558286
124	3.717693515
125	3.712447
126	3.709522306
127	3.705253798
128	3.701557437
129	3.697092336
130	3.69311913
131	3.687728654
132	3.684621094
133	3.680750181
134	3.673493506
135	3.670621741
136	3.664796443
137	3.661329522
138	3.6574545
139	3.654299486
140	3.650307814
141	3.646728252
142	3.643325321
143	3.639131394
144	3.63570327
145	3.630439292
146	3.62365378
147	3.620508288
148	3.617815034
149	3.615018809
150	3.610048276
151	3.60737725
152	3.60199489
153	3.600178629
154	3.593254768
155	3.590781634
156	3.586817927
157	3.582152619
158	3.578698665
159	3.574054858
160	3.568049913
161	3.561608869
162	3.557257253
163	3.555019673
164	3.549711721
165	3.545605399
166	3.541888576
167	3.536282882
168	3.534044532
169	3.530020753
170	3.527444772
171	3.522397696
172	3.519361501
173	3.516338856
174	3.512254857
175	3.508636988
176	3.504870823
177	3.502844602
178	3.499071865
179	3.493679177
180	3.491462793
181	3.489297527
182	3.485519429
183	3.483548917
184	3.479832368
185	3.475371781
186	3.472465795
187	3.470683803
188	3.469064289
189	3.46677306
190	3.462282446
191	3.460207765
192	3.457494499
193	3.455568
194	3.454172337
195	3.448619476
196	3.444517414
197	3.442542919
